2020-12-22 17:33:11,184 INFO OpenGPIO(69) Enable Pin 1,2,3  GPIO.HEIGHT
2020-12-22 17:33:11,184 INFO OpenGPIO(76) Pin 1  GPIO.HIGH
2020-12-22 17:33:11,185 INFO OpenGPIO(76) Pin 2  GPIO.HIGH
2020-12-22 17:33:11,185 INFO OpenGPIO(76) Pin 3  GPIO.HIGH
2020-12-22 17:33:11,185 INFO OpenGPIO(82) Disable Pin 0,4,5,6,7  GPIO.LOW
2020-12-22 17:33:11,185 INFO OpenGPIO(88) Pin 0  GPIO.LOW
2020-12-22 17:33:11,185 INFO OpenGPIO(88) Pin 4  GPIO.LOW
2020-12-22 17:33:11,185 INFO OpenGPIO(88) Pin 5  GPIO.LOW
2020-12-22 17:33:11,185 INFO OpenGPIO(88) Pin 6  GPIO.LOW
2020-12-22 17:33:11,185 INFO OpenGPIO(88) Pin 7  GPIO.LOW
2020-12-22 17:33:16,190 INFO OpenGPIO(92) Time's up disable 1,2,3  GPIO.LOW
2020-12-22 17:33:16,190 INFO OpenGPIO(97) Pin 1  GPIO.LOW
2020-12-22 17:33:16,190 INFO OpenGPIO(97) Pin 2  GPIO.LOW
2020-12-22 17:33:16,191 INFO OpenGPIO(97) Pin 3  GPIO.LOW
